District Name,Total Households,1 = Cultivation,% 1 = Cultivation,2=Manual Casual Labour,% 2=Manual Casual Labour,3=Part-time or Full-Time Domestic Service,% 3=Part-time or Full-Time Domestic Service,4=Foraging Rag Picking,% 4=Foraging Rag Picking,5=Non-agricultural Own Account Enterprise,% 5=Non-agricultural Own Account Enterprise,6=Begging/Charity/ Alms collection,% 6=Begging/Charity/ Alms collection,7=Others,% 7=Others,State_Code
Thanjavur (19),407041,76274,18.74%,263403,64.71%,2858,0.7%,116,0.03%,19798,4.86%,59,0.01%,44533,10.94%,33
Pudukkottai (20),313859,82691,26.35%,200357,63.84%,1848,0.59%,96,0.03%,12911,4.11%,38,0.01%,15918,5.07%,33
Sivaganga (21),240032,65838,27.43%,137225,57.17%,3696,1.54%,326,0.14%,4008,1.67%,129,0.05%,28810,12%,33
Madurai (22),329414,37871,11.5%,247336,75.08%,3581,1.09%,167,0.05%,12704,3.86%,63,0.02%,27692,8.41%,33
Theni (23),151886,13727,9.04%,118694,78.15%,1399,0.92%,168,0.11%,5709,3.76%,88,0.06%,12101,7.97%,33
Virudhunagar (24),340545,20718,6.08%,266274,78.19%,4111,1.21%,279,0.08%,11537,3.39%,143,0.04%,37483,11.01%,33
Ramanathapuram (25),238720,71011,29.75%,140499,58.86%,1997,0.84%,84,0.04%,9135,3.83%,70,0.03%,15924,6.67%,33
Thoothukkudi (26),257307,20747,8.06%,189557,73.67%,1768,0.69%,259,0.1%,11687,4.54%,84,0.03%,33205,12.9%,33
Tirunelveli (27),422627,46640,11.04%,304222,71.98%,3233,0.76%,430,0.1%,19137,4.53%,58,0.01%,48907,11.57%,33
Kanniyakumari (28),166505,5887,3.54%,110224,66.2%,4496,2.7%,224,0.13%,3852,2.31%,210,0.13%,41612,24.99%,33
Dharmapuri (29),323955,78503,24.23%,192392,59.39%,7614,2.35%,225,0.07%,9172,2.83%,175,0.05%,35874,11.07%,33
Krishnagiri (30),343293,91852,26.76%,192260,56%,12215,3.56%,407,0.12%,12095,3.52%,332,0.1%,34132,9.94%,33
Coimbatore (31),268951,39953,14.86%,147858,54.98%,8475,3.15%,497,0.18%,11874,4.41%,416,0.15%,59878,22.26%,33
Tiruppur (32),318659,59850,18.78%,205336,64.44%,2625,0.82%,208,0.07%,19210,6.03%,79,0.02%,31261,9.81%,33
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,34
UT Zone Total,1338560,164259,12.27%,223907,16.73%,176282,13.17%,6608,0.49%,17780,1.33%,5117,0.38%,744605,55.63%,34
State Total,115249,18403,15.97%,46711,40.53%,8109,7.04%,373,0.32%,1596,1.38%,434,0.38%,39622,34.38%,34
Puducherry (02),88898,15096,16.98%,35818,40.29%,7080,7.96%,342,0.38%,967,1.09%,331,0.37%,29263,32.92%,34
Karaikal (04),26351,3307,12.55%,10893,41.34%,1029,3.9%,31,0.12%,629,2.39%,103,0.39%,10359,39.31%,34
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,35
UT Zone Total,1338560,164259,12.27%,223907,16.73%,176282,13.17%,6608,0.49%,17780,1.33%,5117,0.38%,744605,55.63%,35
State Total,68481,12880,18.81%,13208,19.29%,2778,4.06%,23,0.03%,1022,1.49%,60,0.09%,38510,56.23%,35
Nicobars (01),9333,4296,46.03%,908,9.73%,244,2.61%,0,0%,34,0.36%,5,0.05%,3846,41.21%,35
North  & Middle Andaman (02),26990,5626,20.84%,6103,22.61%,1716,6.36%,12,0.04%,649,2.4%,12,0.04%,12872,47.69%,35
South Andaman (03),32158,2958,9.2%,6197,19.27%,818,2.54%,11,0.03%,339,1.05%,43,0.13%,21792,67.77%,35
All India Total,179787454,54122794,30.1%,92016420,51.18%,4487569,2.5%,410320,0.23%,2888481,1.61%,669649,0.37%,25121808,13.97%,36
South Zone Total,39443917,9656119,24.48%,20744050,52.59%,819753,2.08%,150626,0.38%,882245,2.24%,55553,0.14%,7115892,18.04%,36
State Total,5643739,1476351,26.16%,2792421,49.48%,142535,2.53%,12113,0.21%,149963,2.66%,11119,0.2%,1056433,18.72%,36
Adilabad (01),475708,129039,27.13%,237682,49.96%,10528,2.21%,2104,0.44%,19713,4.14%,1121,0.24%,75430,15.86%,36
Nizamabad (02),531257,87615,16.49%,141105,26.56%,6542,1.23%,1036,0.2%,24373,4.59%,654,0.12%,269796,50.78%,36
Karimnagar (03),751791,166564,22.16%,467959,62.25%,18598,2.47%,1816,0.24%,15446,2.05%,1916,0.25%,79473,10.57%,36
Medak (04),620236,197111,31.78%,270100,43.55%,13796,2.22%,901,0.15%,18638,3%,882,0.14%,118592,19.12%,36
Rangareddy (06),502832,121656,24.19%,210620,41.89%,30086,5.98%,1409,0.28%,13345,2.65%,1418,0.28%,123937,24.65%,36
Mahbubnagar (07),735280,246568,33.53%,290536,39.51%,18382,2.5%,2209,0.3%,22697,3.09%,1631,0.22%,153039,20.81%,36
Nalgonda (08),760630,165722,21.79%,442278,58.15%,18786,2.47%,1012,0.13%,12204,1.6%,1776,0.23%,117276,15.42%,36
Warangal (09),715975,199504,27.86%,416239,58.14%,15101,2.11%,1161,0.16%,18618,2.6%,1238,0.17%,64076,8.95%,36
Khammam (10),550030,162572,29.56%,315902,57.43%,10716,1.95%,465,0.08%,4929,0.9%,483,0.09%,54814,9.97%,36
