District Name,Total Population,1 = No. of Illiterates,% 1 = Illiterates,2 = No. of Literates but below primary,% 2 = Literates but below primary,3 = No. of Primary,% 3 = Primary,4 = No. of Middle,% 4 = Middle,5 = No. of Secondary,% 5 = Secondary,6 = No. of Higher Secondary,% 6 = Higher Secondary,7 = No. of Graduate or Higher,% 7 = Graduate or Higher,8 = No. of Other (Specify),% 8 = Other (Specify),State_Code
Bagalkot (02),1248313,475577,38.1%,179570,14.39%,272627,21.84%,100496,8.05%,104588,8.38%,68306,5.47%,34412,2.76%,12737,1.02%,29
Bijapur (03),1577546,647137,41.02%,199385,12.64%,341757,21.66%,109621,6.95%,127890,8.11%,86490,5.48%,49881,3.16%,15385,0.98%,29
Bidar (04),1297140,419789,32.36%,153160,11.81%,362252,27.93%,140757,10.85%,123892,9.55%,62960,4.85%,28168,2.17%,6151,0.47%,29
Raichur (05),1342752,653873,48.7%,117325,8.74%,291765,21.73%,103902,7.74%,95915,7.14%,47397,3.53%,24451,1.82%,8124,0.61%,29
Koppal (06),1203817,416148,34.57%,198515,16.49%,301078,25.01%,105837,8.79%,89556,7.44%,55701,4.63%,29724,2.47%,7258,0.6%,29
Gadag (07),673929,221456,32.86%,88450,13.12%,171168,25.4%,70949,10.53%,61782,9.17%,36278,5.38%,16926,2.51%,6920,1.03%,29
Dharwad (08),801988,245837,30.65%,137074,17.09%,185539,23.13%,68199,8.5%,85947,10.72%,48659,6.07%,22420,2.8%,8313,1.04%,29
Uttara Kannada (09),1092469,228281,20.9%,164827,15.09%,267983,24.53%,139515,12.77%,151192,13.84%,73782,6.75%,54728,5.01%,12161,1.11%,29
Haveri (10),1250738,316424,25.3%,202078,16.16%,353973,28.3%,161796,12.94%,116619,9.32%,58338,4.66%,30850,2.47%,10660,0.85%,29
Bellary (11),1491709,582728,39.06%,202978,13.61%,354831,23.79%,119557,8.01%,115789,7.76%,64976,4.36%,35644,2.39%,15206,1.02%,29
Chitradurga (12),1344863,406136,30.2%,163864,12.18%,278212,20.69%,158597,11.79%,173959,12.94%,100846,7.5%,46792,3.48%,16457,1.22%,29
Davanagere (13),1340078,360623,26.91%,173567,12.95%,319381,23.83%,138401,10.33%,177106,13.22%,96188,7.18%,55170,4.12%,19642,1.47%,29
Shimoga (14),1141106,265712,23.29%,142850,12.52%,265371,23.26%,188432,16.51%,154600,13.55%,71815,6.29%,45850,4.02%,6476,0.57%,29
Udupi (15),1040189,183170,17.61%,124191,11.94%,252260,24.25%,151706,14.58%,148522,14.28%,90011,8.65%,77683,7.47%,12646,1.22%,29
CHIKMAGALUR (16),879498,175178,19.92%,96329,10.95%,215538,24.51%,126521,14.39%,139371,15.85%,72486,8.24%,45343,5.16%,8732,0.99%,29
Tumkur (17),2104985,601566,28.58%,221853,10.54%,397573,18.89%,306277,14.55%,329702,15.66%,152302,7.24%,77362,3.68%,18350,0.87%,29
Bangalore (18),1107019,207591,18.75%,76654,6.92%,204059,18.43%,205033,18.52%,227869,20.58%,104024,9.4%,69607,6.29%,12182,1.1%,29
Mandya (19),1500341,455807,30.38%,125488,8.36%,262543,17.5%,189503,12.63%,256243,17.08%,126048,8.4%,69933,4.66%,14776,0.98%,29
Hassan (20),1429639,359364,25.14%,155769,10.9%,296418,20.73%,190847,13.35%,232678,16.28%,113038,7.91%,62410,4.37%,19115,1.34%,29
Dakshina Kannada (21),1376139,226427,16.45%,145438,10.57%,389377,28.29%,206749,15.02%,199666,14.51%,107039,7.78%,85017,6.18%,16426,1.19%,29
Kodagu (22),456475,84187,18.44%,47086,10.32%,100357,21.99%,66106,14.48%,73564,16.12%,45664,10%,32633,7.15%,6878,1.51%,29
Mysore (23),1823931,611846,33.55%,145029,7.95%,357882,19.62%,248309,13.61%,269328,14.77%,113611,6.23%,67309,3.69%,10617,0.58%,29
Chamarajanagar (24),862383,360910,41.85%,68266,7.92%,170531,19.77%,105795,12.27%,86860,10.07%,41991,4.87%,21361,2.48%,6669,0.77%,29
Gulbarga(Kalaburagi) (25),1712128,735331,42.95%,131729,7.69%,387461,22.63%,148978,8.7%,174044,10.17%,83023,4.85%,44234,2.58%,7323,0.43%,29
Yadgir (26),910097,512587,56.32%,79884,8.78%,163083,17.92%,57568,6.33%,53249,5.85%,25301,2.78%,16025,1.76%,2399,0.26%,29
Kolar (27),1075920,332097,30.87%,112803,10.48%,210046,19.52%,155438,14.45%,147172,13.68%,69323,6.44%,40491,3.76%,8550,0.79%,29
Chikkaballapura (28),982208,336281,34.24%,80987,8.25%,166557,16.96%,150711,15.34%,148533,15.12%,60491,6.16%,34070,3.47%,4578,0.47%,29
Bangalore Rural (29),698513,169549,24.27%,78852,11.29%,128112,18.34%,97973,14.03%,127004,18.18%,59798,8.56%,30503,4.37%,6722,0.96%,29
Ramanagara (30),799866,278179,34.78%,76056,9.51%,140203,17.53%,88798,11.1%,122724,15.34%,58115,7.27%,29735,3.72%,6056,0.76%,29
All India,886692406,316795697,35.73%,123835207,13.97%,157572788,17.77%,119909955,13.52%,85021861,9.59%,48018733,5.42%,30589123,3.45%,4744685,0.54%,30
West Zone Total,153880989,54036317,35.12%,19947937,12.96%,29365665,19.08%,18048064,11.73%,16899356,10.98%,9299378,6.04%,5388712,3.5%,893395,0.58%,30
State Total,944365,145629,15.42%,54680,5.79%,130759,13.85%,203850,21.59%,194475,20.59%,109895,11.64%,89519,9.48%,15558,1.65%,30
NorthGoa (01),603169,86261,14.3%,35003,5.8%,85046,14.1%,125493,20.81%,128264,21.27%,70620,11.71%,61467,10.19%,11015,1.83%,30
SouthGoa (02),341196,59368,17.4%,19677,5.77%,45713,13.4%,78357,22.97%,66211,19.41%,39275,11.51%,28052,8.22%,4543,1.33%,30
All India,886692406,316795697,35.73%,123835207,13.97%,157572788,17.77%,119909955,13.52%,85021861,9.59%,48018733,5.42%,30589123,3.45%,4744685,0.54%,31
