District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Reasi (20),52339,1927,3.68%,1636,3.13%,3606,6.89%,49,0.09%,6732,12.86%,753,1.44%,1593,3.04%,42055,80.35%,4163,7.95%,6121,11.69%,5457,10.43%,3473,6.64%,2031,3.88%,133,0.25%,1279,2.44,30,0.06%,9609,18.36%,825,1.58%,34513,65.94%,734,1.4%,16267,31.08%,397,0.76%,273,0.52%,37884,72.38%,17855,34.11%,7614,14.55%,201,0.38%,12,0.02%,10,0.02%,01
Jammu (21),170917,31550,18.46%,12549,7.34%,24627,14.41%,327,0.19%,45190,26.44%,1580,0.92%,9624,5.63%,88588,51.83%,35967,21.04%,46362,27.13%,43709,25.57%,50881,29.77%,41293,24.16%,660,0.39%,8836,5.17,92,0.05%,96683,56.57%,2131,1.25%,126416,73.96%,8180,4.79%,34190,20%,7216,4.22%,2873,1.68%,50579,29.59%,71669,41.93%,15539,9.09%,10756,6.29%,470,0.27%,358,0.21%,01
Samba (22),55578,7901,14.22%,3278,5.9%,8890,16%,83,0.15%,18280,32.89%,910,1.64%,4098,7.37%,25534,45.94%,12735,22.91%,17309,31.14%,17414,31.33%,20259,36.45%,17215,30.97%,218,0.39%,2807,5.05,19,0.03%,36693,66.02%,1077,1.94%,47153,84.84%,1855,3.34%,5493,9.88%,1580,2.84%,404,0.73%,25913,46.62%,19750,35.54%,4726,8.5%,6696,12.05%,79,0.14%,67,0.12%,01
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,02
State Total,1263756,80425,6.36%,108187,8.56%,132523,10.49%,3342,0.26%,291233,23.05%,17885,1.42%,118976,9.41%,676512,53.53%,279896,22.15%,307347,24.32%,271430,21.48%,251529,19.9%,159240,12.6%,2673,0.21%,88233,6.98%,1383,0.11%,531266,42.04%,21031,1.66%,992290,78.52%,127333,10.08%,123102,9.74%,38020,3.01%,68720,5.44%,844823,66.85%,492708,38.99%,245359,19.42%,44023,3.48%,3702,0.29%,4367,0.35%,02
Chamba (01),92274,3023,3.28%,11012,11.93%,15653,16.96%,146,0.16%,21896,23.73%,1088,1.18%,3180,3.45%,62480,67.71%,12162,13.18%,17632,19.11%,19174,20.78%,8766,9.5%,5068,5.49%,78,0.08%,3558,3.86,62,0.07%,23671,25.65%,1121,1.21%,73582,79.74%,3506,3.8%,14065,15.24%,1844,2%,4473,4.85%,69948,75.8%,44166,47.86%,18523,20.07%,1759,1.91%,268,0.29%,519,0.56%,02
Kangra (02),309461,31166,10.07%,31884,10.3%,35438,11.45%,898,0.29%,74775,24.16%,5060,1.64%,33683,10.88%,150686,48.69%,77931,25.18%,80844,26.12%,70404,22.75%,75829,24.5%,55399,17.9%,665,0.21%,19562,6.32,203,0.07%,175025,56.56%,5394,1.74%,244021,78.85%,33603,10.86%,26443,8.54%,11059,3.57%,8320,2.69%,175072,56.57%,108061,34.92%,48265,15.6%,6845,2.21%,696,0.22%,531,0.17%,02
LahulSpiti (03),6177,303,4.91%,375,6.07%,564,9.13%,57,0.92%,2313,37.45%,25,0.4%,71,1.15%,3089,50.01%,1344,21.76%,1744,28.23%,2098,33.96%,954,15.44%,346,5.6%,4,0.06%,595,9.63,9,0.15%,259,4.19%,322,5.21%,3655,59.17%,901,14.59%,1299,21.03%,231,3.74%,718,11.62%,1656,26.81%,1673,27.08%,3079,49.85%,838,13.57%,28,0.45%,16,0.26%,02
Kullu (04),79798,3855,4.83%,3340,4.19%,4984,6.25%,78,0.1%,11769,14.75%,411,0.52%,2084,2.61%,51776,64.88%,14522,18.2%,13500,16.92%,10979,13.76%,10014,12.55%,2707,3.39%,260,0.33%,7022,8.8,25,0.03%,16583,20.78%,411,0.52%,68752,86.16%,2902,3.64%,7733,9.69%,1171,1.47%,3951,4.95%,56406,70.69%,20848,26.13%,10221,12.81%,2799,3.51%,94,0.12%,174,0.22%,02
Mandi (05),198952,8403,4.22%,13156,6.61%,17299,8.7%,252,0.13%,50147,25.21%,1729,0.87%,12715,6.39%,112600,56.6%,37008,18.6%,49344,24.8%,47097,23.67%,27305,13.72%,15483,7.78%,522,0.26%,11081,5.57,219,0.11%,63834,32.09%,3908,1.96%,146534,73.65%,23501,11.81%,25009,12.57%,4732,2.38%,11049,5.55%,152868,76.84%,63677,32.01%,31782,15.97%,3955,1.99%,326,0.16%,546,0.27%,02
Hamirpur (06),96745,5080,5.25%,10176,10.52%,12064,12.47%,1016,1.05%,27610,28.54%,2583,2.67%,19417,20.07%,36531,37.76%,26906,27.81%,33308,34.43%,26605,27.5%,18165,18.78%,12528,12.95%,168,0.17%,5384,5.57,85,0.09%,54862,56.71%,2425,2.51%,69316,71.65%,17130,17.71%,7874,8.14%,2595,2.68%,3550,3.67%,76037,78.6%,41451,42.85%,22865,23.63%,2696,2.79%,237,0.24%,272,0.28%,02
Una (07),97451,8992,9.23%,13888,14.25%,11460,11.76%,215,0.22%,19120,19.62%,1647,1.69%,14074,14.44%,49348,50.64%,24638,25.28%,23465,24.08%,18210,18.69%,37403,38.38%,30643,31.44%,201,0.21%,6404,6.57,155,0.16%,60362,61.94%,1372,1.41%,79029,81.1%,7675,7.88%,9375,9.62%,3618,3.71%,4448,4.56%,63898,65.57%,50278,51.59%,23641,24.26%,5465,5.61%,403,0.41%,142,0.15%,02
