District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Sangli (35),433206,214332,31889,20223,24394,1411,37156,52189,71582,7.36%,4.67%,5.63%,0.33%,8.58%,12.05%,16.52%,66978,40081,17566,6882,1944,272,18,15.46%,9.25%,4.05%,1.59%,0.45%,0.06%,0%,80591,18.6%,27
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,28
South Zone Total,39443917,19480453,2192579,1831298,2223012,113841,6111318,7403796,10796602,5.56%,4.64%,5.64%,0.29%,15.49%,18.77%,27.37%,6684043,5429160,2641230,910825,260154,42149,1347,16.95%,13.76%,6.7%,2.31%,0.66%,0.11%,0%,3511545,8.9%,28
State Total,9344180,5689633,351035,569955,625010,33329,1627027,2684864,3400265,3.76%,6.1%,6.69%,0.36%,17.41%,28.73%,36.39%,1943430,1710000,829930,264702,65067,8703,272,20.8%,18.3%,8.88%,2.83%,0.7%,0.09%,0%,867529,9.28%,28
Srikakulam (11),558929,324099,13482,29697,36316,2852,58987,180265,180623,2.41%,5.31%,6.5%,0.51%,10.55%,32.25%,32.32%,113781,96992,40530,13556,3285,351,16,20.36%,17.35%,7.25%,2.43%,0.59%,0.06%,0%,55588,9.95%,28
Vizianagaram (12),478978,296759,19294,23397,30999,1764,70935,181078,179868,4.03%,4.88%,6.47%,0.37%,14.81%,37.81%,37.55%,95313,95292,48196,14270,3402,432,24,19.9%,19.89%,10.06%,2.98%,0.71%,0.09%,0.01%,39830,8.32%,28
Visakhapatnam (13),602256,403689,54890,32020,43508,1813,120483,241182,208929,9.11%,5.32%,7.22%,0.3%,20.01%,40.05%,34.69%,131246,141138,59388,20704,4910,609,17,21.79%,23.43%,9.86%,3.44%,0.82%,0.1%,0%,45677,7.58%,28
EastGodavari (14),1176639,825945,47493,94051,100393,5003,216442,343037,639032,4.04%,7.99%,8.53%,0.43%,18.39%,29.15%,54.31%,301560,271764,122203,41944,10982,1791,46,25.63%,23.1%,10.39%,3.56%,0.93%,0.15%,0%,75655,6.43%,28
WestGodavari (15),881322,584035,31820,70449,69807,3370,174444,215717,387573,3.61%,7.99%,7.92%,0.38%,19.79%,24.48%,43.98%,209558,174287,81167,27266,7340,930,29,23.78%,19.78%,9.21%,3.09%,0.83%,0.11%,0%,83458,9.47%,28
Krishna (16),852522,562907,73814,70367,69289,3432,183891,255920,394302,8.66%,8.25%,8.13%,0.4%,21.57%,30.02%,46.25%,169269,179076,103692,37721,10195,1710,57,19.86%,21.01%,12.16%,4.42%,1.2%,0.2%,0.01%,61187,7.18%,28
