District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Chamarajanagar (24),203466,128525,21870,8600,13252,509,50836,65049,60004,10.75%,4.23%,6.51%,0.25%,24.99%,31.97%,29.49%,38955,37830,21067,7200,2129,438,33,19.15%,18.59%,10.35%,3.54%,1.05%,0.22%,0.02%,20873,10.26%,29
Gulbarga(Kalaburagi) (25),314651,152616,6753,7985,12316,698,47934,81707,62493,2.15%,2.54%,3.91%,0.22%,15.23%,25.97%,19.86%,52867,42386,18921,4756,1125,131,7,16.8%,13.47%,6.01%,1.51%,0.36%,0.04%,0%,32423,10.3%,29
Yadgir (26),158580,88814,12590,3659,7272,284,34947,58015,22887,7.94%,2.31%,4.59%,0.18%,22.04%,36.58%,14.43%,31023,26931,11814,3538,829,160,10,19.56%,16.98%,7.45%,2.23%,0.52%,0.1%,0.01%,14509,9.15%,29
Kolar (27),226042,114812,8303,8372,11746,685,51376,45974,33351,3.67%,3.7%,5.2%,0.3%,22.73%,20.34%,14.75%,38610,29084,13140,4270,1095,164,10,17.08%,12.87%,5.81%,1.89%,0.48%,0.07%,0%,28439,12.58%,29
Chikkaballapura (28),218901,124281,9896,8794,12240,755,63040,54466,47864,4.52%,4.02%,5.59%,0.34%,28.8%,24.88%,21.87%,38232,34538,17907,6181,1838,331,18,17.47%,15.78%,8.18%,2.82%,0.84%,0.15%,0.01%,25236,11.53%,29
Bangalore Rural (29),158426,56939,4031,4594,6504,312,21371,19310,8129,2.54%,2.9%,4.11%,0.2%,13.49%,12.19%,5.13%,20944,11898,4382,1277,238,10,1,13.22%,7.51%,2.77%,0.81%,0.15%,0.01%,0%,18189,11.48%,29
Ramanagara (30),195562,89826,15309,8675,11976,462,23108,39968,5725,7.83%,4.44%,6.12%,0.24%,11.82%,20.44%,2.93%,32118,18357,7844,2574,467,38,0,16.42%,9.39%,4.01%,1.32%,0.24%,0.02%,0%,28428,14.54%,29
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,30
West Zone Total,31206237,17943559,3831583,1266486,1184814,146482,6839360,6828007,8187227,12.28%,4.06%,3.8%,0.47%,21.92%,21.88%,26.24%,5539461,4769767,2727245,945062,197493,39387,2742,17.75%,15.28%,8.74%,3.03%,0.63%,0.13%,0.01%,3722402,11.93%,30
State Total,220731,35586,1641,3054,5258,361,8300,8844,11765,0.74%,1.38%,2.38%,0.16%,3.76%,4.01%,5.33%,13492,6545,2683,901,183,11,1,6.11%,2.97%,1.22%,0.41%,0.08%,0%,0%,11770,5.33%,30
NorthGoa (01),140451,22921,928,2012,3393,248,3786,5205,7918,0.66%,1.43%,2.42%,0.18%,2.7%,3.71%,5.64%,8668,3816,1614,467,90,5,0,6.17%,2.72%,1.15%,0.33%,0.06%,0%,0%,8261,5.88%,30
SouthGoa (02),80280,12665,713,1042,1865,113,4514,3639,3847,0.89%,1.3%,2.32%,0.14%,5.62%,4.53%,4.79%,4824,2729,1069,434,93,6,1,6.01%,3.4%,1.33%,0.54%,0.12%,0.01%,0%,3509,4.37%,30
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,31
UT Zone Total,1338560,295092,25143,10825,14586,1137,71768,75751,94827,1.88%,0.81%,1.09%,0.08%,5.36%,5.66%,7.08%,104956,53100,18908,4872,1084,200,7,7.84%,3.97%,1.41%,0.36%,0.08%,0.01%,0%,111965,8.36%,31
State Total,10929,1506,117,77,231,22,1409,70,339,1.07%,0.7%,2.11%,0.2%,12.89%,0.64%,3.1%,853,445,120,25,10,2,0,7.8%,4.07%,1.1%,0.23%,0.09%,0.02%,0%,51,0.47%,31
Lakshadweep (01),10929,1506,117,77,231,22,1409,70,339,1.07%,0.7%,2.11%,0.2%,12.89%,0.64%,3.1%,853,445,120,25,10,2,0,7.8%,4.07%,1.1%,0.23%,0.09%,0.02%,0%,51,0.47%,31
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,32
South Zone Total,39443917,19480453,2192579,1831298,2223012,113841,6111318,7403796,10796602,5.56%,4.64%,5.64%,0.29%,15.49%,18.77%,27.37%,6684043,5429160,2641230,910825,260154,42149,1347,16.95%,13.76%,6.7%,2.31%,0.66%,0.11%,0%,3511545,8.9%,32
State Total,6319215,1916469,90122,132964,230855,12053,449068,114342,1191581,1.43%,2.1%,3.65%,0.19%,7.11%,1.81%,18.86%,902277,426335,104505,28567,6683,760,40,14.28%,6.75%,1.65%,0.45%,0.11%,0.01%,0%,447302,7.08%,32
Kasaragod (01),232943,76458,4634,3354,8522,395,15809,8025,30212,1.99%,1.44%,3.66%,0.17%,6.79%,3.45%,12.97%,29465,11913,4114,1067,180,25,0,12.65%,5.11%,1.77%,0.46%,0.08%,0.01%,0%,29694,12.75%,32
Kannur (02),475109,115195,2802,8597,15631,697,14213,4775,54192,0.59%,1.81%,3.29%,0.15%,2.99%,1.01%,11.41%,51271,15627,4311,1114,178,16,1,10.79%,3.29%,0.91%,0.23%,0.04%,0%,0%,42677,8.98%,32
Wayanad (03),180860,65706,3726,3023,6116,326,22607,8089,44626,2.06%,1.67%,3.38%,0.18%,12.5%,4.47%,24.67%,26244,16582,6657,1849,316,24,2,14.51%,9.17%,3.68%,1.02%,0.17%,0.01%,0%,14032,7.76%,32
Kozhikode (04),537969,166156,12488,8874,19821,898,27245,5658,97756,2.32%,1.65%,3.68%,0.17%,5.06%,1.05%,18.17%,82920,30240,6966,1624,342,37,2,15.41%,5.62%,1.29%,0.3%,0.06%,0.01%,0%,44025,8.18%,32
Malappuram (05),707117,231269,7603,7627,27773,951,39765,11406,176297,1.08%,1.08%,3.93%,0.13%,5.62%,1.61%,24.93%,134029,48546,9153,2463,541,44,3,18.95%,6.87%,1.29%,0.35%,0.08%,0.01%,0%,36490,5.16%,32
Palakkad (06),563475,238546,12424,15226,28717,1335,65563,26971,163609,2.2%,2.7%,5.1%,0.24%,11.64%,4.79%,29.04%,106853,60905,17270,6012,1634,183,8,18.96%,10.81%,3.06%,1.07%,0.29%,0.03%,0%,45681,8.11%,32
Thrissur (07),591510,168998,9376,11887,21460,943,43387,8055,117088,1.59%,2.01%,3.63%,0.16%,7.33%,1.36%,19.79%,79755,44384,10077,2421,654,79,2,13.48%,7.5%,1.7%,0.41%,0.11%,0.01%,0%,31626,5.35%,32
Ernakulam (08),529673,107550,3973,8596,11224,748,26769,4440,71974,0.75%,1.62%,2.12%,0.14%,5.05%,0.84%,13.59%,52570,25689,5434,1385,341,37,1,9.92%,4.85%,1.03%,0.26%,0.06%,0.01%,0%,22093,4.17%,32
Idukki (09),258610,87890,2932,6364,7397,446,28414,9175,45700,1.13%,2.46%,2.86%,0.17%,10.99%,3.55%,17.67%,34871,20933,5585,1336,293,20,1,13.48%,8.09%,2.16%,0.52%,0.11%,0.01%,0%,24851,9.61%,32
Kottayam (10),418899,96434,2465,6848,8243,528,21001,1725,57757,0.59%,1.63%,1.97%,0.13%,5.01%,0.41%,13.79%,48196,18997,3063,631,122,9,0,11.51%,4.53%,0.73%,0.15%,0.03%,0%,0%,25416,6.07%,32
Alappuzha (11),454793,126345,6070,9291,13724,808,25501,2610,85074,1.33%,2.04%,3.02%,0.18%,5.61%,0.57%,18.71%,65475,27436,5433,1208,274,36,2,14.4%,6.03%,1.19%,0.27%,0.06%,0.01%,0%,26481,5.82%,32
Pathanamthitta (12),283661,75487,3436,6647,9341,643,26846,1967,45349,1.21%,2.34%,3.29%,0.23%,9.46%,0.69%,15.99%,29823,22700,4574,973,229,40,1,10.51%,8%,1.61%,0.34%,0.08%,0.01%,0%,17147,6.04%,32
Kollam (13),542337,152436,6560,13087,21254,1167,44170,6872,82218,1.21%,2.41%,3.92%,0.22%,8.14%,1.27%,15.16%,67031,36004,8221,2139,540,57,4,12.36%,6.64%,1.52%,0.39%,0.1%,0.01%,0%,38440,7.09%,32
Thiruvananthapuram (14),542259,207999,11633,23543,31632,2168,47778,14574,119729,2.15%,4.34%,5.83%,0.4%,8.81%,2.69%,22.08%,93774,46379,13647,4345,1039,153,13,17.29%,8.55%,2.52%,0.8%,0.19%,0.03%,0%,48649,8.97%,32
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,33
South Zone Total,39443917,19480453,2192579,1831298,2223012,113841,6111318,7403796,10796602,5.56%,4.64%,5.64%,0.29%,15.49%,18.77%,27.37%,6684043,5429160,2641230,910825,260154,42149,1347,16.95%,13.76%,6.7%,2.31%,0.66%,0.11%,0%,3511545,8.9%,33
State Total,10088119,5391589,1287685,633870,689639,27158,1826493,1651804,3750317,12.76%,6.28%,6.84%,0.27%,18.11%,16.37%,37.18%,1673459,1606133,900587,370319,129102,24679,660,16.59%,15.92%,8.93%,3.67%,1.28%,0.24%,0.01%,686650,6.81%,33
Thiruvallur (01),368152,175170,41949,15388,22265,1085,77151,60086,123511,11.39%,4.18%,6.05%,0.29%,20.96%,16.32%,33.55%,50274,54548,32353,13862,4549,1097,33,13.66%,14.82%,8.79%,3.77%,1.24%,0.3%,0.01%,18454,5.01%,33
Kancheepuram (03),432465,190153,51970,18947,21986,945,89980,57760,150679,12.02%,4.38%,5.08%,0.22%,20.81%,13.36%,34.84%,50519,60544,38975,16201,5884,1535,43,11.68%,14%,9.01%,3.75%,1.36%,0.35%,0.01%,16452,3.8%,33
Vellore (04),587123,311160,73958,26900,34840,1457,103820,86079,232265,12.6%,4.58%,5.93%,0.25%,17.68%,14.66%,39.56%,99147,103054,47199,17856,6764,1163,35,16.89%,17.55%,8.04%,3.04%,1.15%,0.2%,0.01%,35942,6.12%,33
Tiruvannamalai (05),488091,282828,66052,27423,30896,1528,97768,84222,158464,13.53%,5.62%,6.33%,0.31%,20.03%,17.26%,32.47%,89248,79793,40838,15370,5580,906,27,18.29%,16.35%,8.37%,3.15%,1.14%,0.19%,0.01%,51066,10.46%,33
Viluppuram (06),671784,390152,127808,29954,33456,1917,160536,133118,262236,19.03%,4.46%,4.98%,0.29%,23.9%,19.82%,39.04%,105319,120493,76926,29277,8794,1743,58,15.68%,17.94%,11.45%,4.36%,1.31%,0.26%,0.01%,47542,7.08%,33
Salem (07),501419,219356,45805,36945,32744,1005,70955,105174,160980,9.14%,7.37%,6.53%,0.2%,14.15%,20.98%,32.1%,59423,69320,41898,20191,8198,1318,27,11.85%,13.82%,8.36%,4.03%,1.63%,0.26%,0.01%,18981,3.79%,33
Namakkal (08),285291,108677,20063,24288,21823,820,43706,48619,80651,7.03%,8.51%,7.65%,0.29%,15.32%,17.04%,28.27%,28649,32915,22038,12120,4889,1031,38,10.04%,11.54%,7.72%,4.25%,1.71%,0.36%,0.01%,6997,2.45%,33
Erode (09),322172,137081,26272,28760,27009,922,44346,73087,102016,8.15%,8.93%,8.38%,0.29%,13.76%,22.69%,31.67%,33129,39019,32907,15822,5025,670,13,10.28%,12.11%,10.21%,4.91%,1.56%,0.21%,0%,10496,3.26%,33
The Nilgiris (10),84323,41777,2165,4124,6106,212,19728,8025,32311,2.57%,4.89%,7.24%,0.25%,23.4%,9.52%,38.32%,11600,15595,5633,2269,683,76,5,13.76%,18.49%,6.68%,2.69%,0.81%,0.09%,0.01%,5916,7.02%,33
Dindigul (11),368203,189738,25351,21438,22330,879,58522,60142,140113,6.89%,5.82%,6.06%,0.24%,15.89%,16.33%,38.05%,65286,56818,28324,11442,3321,411,6,17.73%,15.43%,7.69%,3.11%,0.9%,0.11%,0%,24130,6.55%,33
Karur (12),176084,83429,11801,14159,15069,487,27165,32449,63078,6.7%,8.04%,8.56%,0.28%,15.43%,18.43%,35.82%,24328,25133,14630,7421,2669,427,19,13.82%,14.27%,8.31%,4.21%,1.52%,0.24%,0.01%,8802,5%,33
Tiruchirappalli (13),368071,198641,47402,26295,30677,1399,54287,47667,132777,12.88%,7.14%,8.33%,0.38%,14.75%,12.95%,36.07%,64917,56360,26576,12506,5379,1004,28,17.64%,15.31%,7.22%,3.4%,1.46%,0.27%,0.01%,31871,8.66%,33
Perambalur (14),122676,76549,20135,9908,12141,493,30568,17771,39514,16.41%,8.08%,9.9%,0.4%,24.92%,14.49%,32.21%,22438,20960,11503,4914,1904,397,15,18.29%,17.09%,9.38%,4.01%,1.55%,0.32%,0.01%,14418,11.75%,33
Ariyalur (15),175439,113162,49601,13715,14507,553,33492,38860,65613,28.27%,7.82%,8.27%,0.32%,19.09%,22.15%,37.4%,29559,30118,21082,10060,3765,686,17,16.85%,17.17%,12.02%,5.73%,2.15%,0.39%,0.01%,17875,10.19%,33
Cuddalore (16),436344,262782,105360,21091,25128,947,117152,81049,168463,24.15%,4.83%,5.76%,0.22%,26.85%,18.57%,38.61%,66201,80960,54549,21170,6655,1530,41,15.17%,18.55%,12.5%,4.85%,1.53%,0.35%,0.01%,31676,7.26%,33
Nagapattinam (17),318840,203256,91738,20519,23400,931,95399,37098,146422,28.77%,6.44%,7.34%,0.29%,29.92%,11.64%,45.92%,50792,65030,44238,15079,6001,1883,46,15.93%,20.4%,13.87%,4.73%,1.88%,0.59%,0.01%,20187,6.33%,33
Thiruvarur (18),258848,169861,87787,16940,18989,829,82036,28046,131176,33.91%,6.54%,7.34%,0.32%,31.69%,10.83%,50.68%,37022,56181,41086,13292,5653,1894,52,14.3%,21.7%,15.87%,5.14%,2.18%,0.73%,0.02%,14681,5.67%,33
Thanjavur (19),407041,237046,96391,22064,28852,632,70350,56562,180510,23.68%,5.42%,7.09%,0.16%,17.28%,13.9%,44.35%,65036,77419,42661,16140,6772,1493,18,15.98%,19.02%,10.48%,3.97%,1.66%,0.37%,0%,27507,6.76%,33
Pudukkottai (20),313859,175257,46967,15006,17900,779,40662,49576,108631,14.96%,4.78%,5.7%,0.25%,12.96%,15.8%,34.61%,57825,50092,22745,8526,3249,481,6,18.42%,15.96%,7.25%,2.72%,1.04%,0.15%,0%,32333,10.3%,33
Sivaganga (21),240032,147614,20648,16570,18119,701,35990,40930,78398,8.6%,6.9%,7.55%,0.29%,14.99%,17.05%,32.66%,52903,36221,15981,6620,2015,244,7,22.04%,15.09%,6.66%,2.76%,0.84%,0.1%,0%,33623,14.01%,33
Madurai (22),329414,173400,19943,19962,23194,746,45184,48356,136756,6.05%,6.06%,7.04%,0.23%,13.72%,14.68%,41.51%,67015,50135,22887,9946,3126,446,15,20.34%,15.22%,6.95%,3.02%,0.95%,0.14%,0%,19830,6.02%,33
Theni (23),151886,93847,3076,12009,12296,285,27128,31141,80402,2.03%,7.91%,8.1%,0.19%,17.86%,20.5%,52.94%,36041,29976,13594,5600,1292,117,0,23.73%,19.74%,8.95%,3.69%,0.85%,0.08%,0%,7227,4.76%,33
Virudhunagar (24),340545,204035,24418,26812,30029,1162,60062,57767,165318,7.17%,7.87%,8.82%,0.34%,17.64%,16.96%,48.55%,77712,59575,29279,13143,4585,865,26,22.82%,17.49%,8.6%,3.86%,1.35%,0.25%,0.01%,18850,5.54%,33
Ramanathapuram (25),238720,163365,34053,14195,15012,470,42997,15250,94389,14.26%,5.95%,6.29%,0.2%,18.01%,6.39%,39.54%,63585,41729,14595,4601,1210,176,4,26.64%,17.48%,6.11%,1.93%,0.51%,0.07%,0%,37465,15.69%,33
Thoothukkudi (26),257307,149912,20797,25193,24946,1234,47177,30097,111383,8.08%,9.79%,9.7%,0.48%,18.33%,11.7%,43.29%,56445,44867,19257,8921,3397,678,20,21.94%,17.44%,7.48%,3.47%,1.32%,0.26%,0.01%,16327,6.35%,33
Tirunelveli (27),422627,233370,23786,36579,37040,1565,68178,62569,182139,5.63%,8.66%,8.76%,0.37%,16.13%,14.8%,43.1%,88864,67828,31317,15033,5482,940,29,21.03%,16.05%,7.41%,3.56%,1.3%,0.22%,0.01%,23877,5.65%,33
Kanniyakumari (28),166505,74838,7849,9176,8919,381,5581,5974,55575,4.71%,5.51%,5.36%,0.23%,3.35%,3.59%,33.38%,42403,13590,4755,1821,415,39,2,25.47%,8.16%,2.86%,1.09%,0.25%,0.02%,0%,11813,7.09%,33
Dharmapuri (29),323955,159835,35423,18506,18919,659,42621,74572,86041,10.93%,5.71%,5.84%,0.2%,13.16%,23.02%,26.56%,49512,46253,24461,10200,3583,427,9,15.28%,14.28%,7.55%,3.15%,1.11%,0.13%,0%,25390,7.84%,33
Krishnagiri (30),343293,173424,34037,14473,18385,941,38230,77617,90712,9.91%,4.22%,5.36%,0.27%,11.14%,22.61%,26.42%,57258,47943,23994,8661,2575,280,10,16.68%,13.97%,6.99%,2.52%,0.75%,0.08%,0%,32703,9.53%,33
Coimbatore (31),268951,116076,11166,19055,18228,500,43569,43933,80866,4.15%,7.08%,6.78%,0.19%,16.2%,16.33%,30.07%,33686,34097,23412,8666,1861,203,2,12.52%,12.68%,8.7%,3.22%,0.69%,0.08%,0%,14149,5.26%,33
Tiruppur (32),318659,135798,13914,27476,24434,694,52153,58208,108928,4.37%,8.62%,7.67%,0.22%,16.37%,18.27%,34.18%,37323,39567,30894,13589,3827,519,9,11.71%,12.42%,9.7%,4.26%,1.2%,0.16%,0%,10070,3.16%,33
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,34
UT Zone Total,1338560,295092,25143,10825,14586,1137,71768,75751,94827,1.88%,0.81%,1.09%,0.08%,5.36%,5.66%,7.08%,104956,53100,18908,4872,1084,200,7,7.84%,3.97%,1.41%,0.36%,0.08%,0.01%,0%,111965,8.36%,34
State Total,115249,49084,15507,4585,6973,305,16002,12777,24041,13.46%,3.98%,6.05%,0.26%,13.88%,11.09%,20.86%,16441,12839,7289,2801,801,160,5,14.27%,11.14%,6.32%,2.43%,0.7%,0.14%,0%,8748,7.59%,34
Puducherry (02),88898,37917,10869,3186,5017,193,12279,10417,18400,12.23%,3.58%,5.64%,0.22%,13.81%,11.72%,20.7%,12903,9917,5432,2046,528,84,0,14.51%,11.16%,6.11%,2.3%,0.59%,0.09%,0%,7007,7.88%,34
Karaikal (04),26351,11167,4638,1399,1956,112,3723,2360,5641,17.6%,5.31%,7.42%,0.43%,14.13%,8.96%,21.41%,3538,2922,1857,755,273,76,5,13.43%,11.09%,7.05%,2.87%,1.04%,0.29%,0.02%,1741,6.61%,34
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,35
UT Zone Total,1338560,295092,25143,10825,14586,1137,71768,75751,94827,1.88%,0.81%,1.09%,0.08%,5.36%,5.66%,7.08%,104956,53100,18908,4872,1084,200,7,7.84%,3.97%,1.41%,0.36%,0.08%,0.01%,0%,111965,8.36%,35
State Total,68481,28959,1239,1382,1758,185,3658,5312,7752,1.81%,2.02%,2.57%,0.27%,5.34%,7.76%,11.32%,11781,3248,793,141,12,1,0,17.2%,4.74%,1.16%,0.21%,0.02%,0%,0%,12983,18.96%,35
Nicobars (01),9333,4536,24,250,319,31,3448,1051,541,0.26%,2.68%,3.42%,0.33%,36.94%,11.26%,5.8%,2866,968,213,52,3,0,0,30.71%,10.37%,2.28%,0.56%,0.03%,0%,0%,434,4.65%,35
North  & Middle Andaman (02),26990,13118,933,662,742,69,10,2153,3954,3.46%,2.45%,2.75%,0.26%,0.04%,7.98%,14.65%,4819,1241,326,52,6,1,0,17.85%,4.6%,1.21%,0.19%,0.02%,0%,0%,6673,24.72%,35
South Andaman (03),32158,11305,282,470,697,85,200,2108,3257,0.88%,1.46%,2.17%,0.26%,0.62%,6.56%,10.13%,4096,1039,254,37,3,0,0,12.74%,3.23%,0.79%,0.12%,0.01%,0%,0%,5876,18.27%,35
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,36
South Zone Total,39443917,19480453,2192579,1831298,2223012,113841,6111318,7403796,10796602,5.56%,4.64%,5.64%,0.29%,15.49%,18.77%,27.37%,6684043,5429160,2641230,910825,260154,42149,1347,16.95%,13.76%,6.7%,2.31%,0.66%,0.11%,0%,3511545,8.9%,36
State Total,5643739,2486874,104099,260878,295034,20980,899813,1427591,1280248,1.84%,4.62%,5.23%,0.37%,15.94%,25.3%,22.68%,777493,773565,416547,132630,31858,3893,173,13.78%,13.71%,7.38%,2.35%,0.56%,0.07%,0%,350715,6.21%,36
Adilabad (01),475708,211528,8662,18423,23596,982,91002,137465,119251,1.82%,3.87%,4.96%,0.21%,19.13%,28.9%,25.07%,60794,74901,42564,11388,2794,256,5,12.78%,15.75%,8.95%,2.39%,0.59%,0.05%,0%,18826,3.96%,36
Nizamabad (02),531257,113491,16830,9377,13913,847,27501,64916,42563,3.17%,1.77%,2.62%,0.16%,5.18%,12.22%,8.01%,37667,30339,15768,5505,1360,237,8,7.09%,5.71%,2.97%,1.04%,0.26%,0.04%,0%,22607,4.26%,36
Karimnagar (03),751791,416361,9620,59476,56227,5815,120804,235086,248882,1.28%,7.91%,7.48%,0.77%,16.07%,31.27%,33.11%,134248,124368,70168,26243,6533,752,39,17.86%,16.54%,9.33%,3.49%,0.87%,0.1%,0.01%,54010,7.18%,36
Medak (04),620236,136579,3798,9602,11958,332,32668,73573,46147,0.61%,1.55%,1.93%,0.05%,5.27%,11.86%,7.44%,53254,35047,12902,3309,524,28,0,8.59%,5.65%,2.08%,0.53%,0.08%,0%,0%,31515,5.08%,36
Rangareddy (06),502832,187217,99,10730,16551,1355,60944,98661,72339,0.02%,2.13%,3.29%,0.27%,12.12%,19.62%,14.39%,67135,53454,21431,4542,788,38,1,13.35%,10.63%,4.26%,0.9%,0.16%,0.01%,0%,39828,7.92%,36
Mahbubnagar (07),735280,236536,4235,15372,26491,1156,74000,150286,113528,0.58%,2.09%,3.6%,0.16%,10.06%,20.44%,15.44%,81087,78600,35554,8068,1444,101,3,11.03%,10.69%,4.84%,1.1%,0.2%,0.01%,0%,31679,4.31%,36
Nalgonda (08),760630,338077,3038,41211,43041,4023,119363,191101,217186,0.4%,5.42%,5.66%,0.53%,15.69%,25.12%,28.55%,102752,110426,63860,19904,4409,332,18,13.51%,14.52%,8.4%,2.62%,0.58%,0.04%,0%,36376,4.78%,36
Warangal (09),715975,467318,36197,58877,53579,4108,182993,265080,222160,5.06%,8.22%,7.48%,0.57%,25.56%,37.02%,31.03%,141035,141595,77328,29103,8205,1467,78,19.7%,19.78%,10.8%,4.06%,1.15%,0.2%,0.01%,68507,9.57%,36
Khammam (10),550030,379767,21620,37810,49678,2362,190538,211423,198192,3.93%,6.87%,9.03%,0.43%,34.64%,38.44%,36.03%,99521,124835,76972,24568,5801,682,21,18.09%,22.7%,13.99%,4.47%,1.05%,0.12%,0%,47367,8.61%,36
