District Name,Total Households,Number of SC Households,% of SC Households,Number of ST Households,% of ST Households,Number of Others Households,% of Others Households,Number of No Caste & Tribe Households,% No Caste & Tribe Households,State_Code
North  & Middle Andaman (02),26990,0,0%,159,0.59%,12566,46.56%,14255,52.82%,35
South Andaman (03),32158,0,0%,587,1.83%,21396,66.53%,10170,31.63%,35
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,36
South Zone Total,39443917,7435139,18.85%,2165327,5.49%,29612105,75.07%,228574,0.58%,36
State Total,5643739,1017057,18.02%,650414,11.52%,3974328,70.42%,1582,0.03%,36
Adilabad (01),475708,93213,19.59%,100079,21.04%,282199,59.32%,216,0.05%,36
Nizamabad (02),531257,71806,13.52%,37521,7.06%,421720,79.38%,42,0.01%,36
Karimnagar (03),751791,157848,21%,23690,3.15%,570135,75.84%,102,0.01%,36
Medak (04),620236,104528,16.85%,30389,4.9%,485197,78.23%,15,0%,36
Rangareddy (06),502832,93999,18.69%,33231,6.61%,375591,74.7%,9,0%,36
Mahbubnagar (07),735280,126052,17.14%,63541,8.64%,545318,74.16%,369,0.05%,36
Nalgonda (08),760630,141955,18.66%,82123,10.8%,536439,70.53%,94,0.01%,36
Warangal (09),715975,128864,18%,122236,17.07%,464131,64.83%,702,0.1%,36
Khammam (10),550030,98792,17.96%,157604,28.65%,293598,53.38%,33,0.01%,36
