District Name,Total Households,Number of SC Households,% of SC Households,Number of ST Households,% of ST Households,Number of Others Households,% of Others Households,Number of No Caste & Tribe Households,% No Caste & Tribe Households,State_Code
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,32
South Zone Total,39443917,7435139,18.85%,2165327,5.49%,29612105,75.07%,228574,0.58%,32
State Total,6319215,652437,10.32%,103268,1.63%,5445196,86.17%,117955,1.87%,32
Kasaragod (01),232943,10272,4.41%,11063,4.75%,206124,88.49%,5484,2.35%,32
Kannur (02),475109,17078,3.59%,8791,1.85%,434297,91.41%,14941,3.14%,32
Wayanad (03),180860,7950,4.4%,33033,18.26%,137178,75.85%,2699,1.49%,32
Kozhikode (04),537969,42601,7.92%,2632,0.49%,483311,89.84%,9268,1.72%,32
Malappuram (05),707117,58391,8.26%,3207,0.45%,622161,87.99%,23336,3.3%,32
Palakkad (06),563475,86047,15.27%,11861,2.1%,450934,80.03%,14633,2.6%,32
Thrissur (07),591510,72168,12.2%,1298,0.22%,494769,83.65%,23274,3.93%,32
Ernakulam (08),529673,52594,9.93%,2258,0.43%,468612,88.47%,6209,1.17%,32
Idukki (09),258610,39410,15.24%,14634,5.66%,201863,78.06%,2692,1.04%,32
Kottayam (10),418899,36738,8.77%,4822,1.15%,372456,88.91%,4873,1.16%,32
Alappuzha (11),454793,46602,10.25%,856,0.19%,404263,88.89%,2945,0.65%,32
Pathanamthitta (12),283661,40323,14.22%,1613,0.57%,239327,84.37%,2390,0.84%,32
Kollam (13),542337,72201,13.31%,1430,0.26%,465805,85.89%,2897,0.53%,32
Thiruvananthapuram (14),542259,70062,12.92%,5770,1.06%,464096,85.59%,2314,0.43%,32
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,33
South Zone Total,39443917,7435139,18.85%,2165327,5.49%,29612105,75.07%,228574,0.58%,33
State Total,10088119,2577454,25.55%,182999,1.81%,7315714,72.52%,10196,0.1%,33
Thiruvallur (01),368152,129069,35.06%,9885,2.69%,228419,62.04%,716,0.19%,33
Kancheepuram (03),432465,159876,36.97%,7384,1.71%,264474,61.16%,703,0.16%,33
Vellore (04),587123,150325,25.6%,17642,3%,418655,71.31%,447,0.08%,33
Tiruvannamalai (05),488091,118316,24.24%,24351,4.99%,344583,70.6%,299,0.06%,33
Viluppuram (06),671784,210351,31.31%,17795,2.65%,443263,65.98%,272,0.04%,33
Salem (07),501419,90979,18.14%,29111,5.81%,381045,75.99%,284,0.06%,33
Namakkal (08),285291,69028,24.2%,15632,5.48%,199784,70.03%,842,0.3%,33
Erode (09),322172,67053,20.81%,5727,1.78%,249007,77.29%,385,0.12%,33
The Nilgiris (10),84323,27081,32.12%,6501,7.71%,50696,60.12%,44,0.05%,33
Dindigul (11),368203,88892,24.14%,1636,0.44%,277231,75.29%,444,0.12%,33
