District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
Pudukkottai (20),313859,17978517.7,121472,38.7%,192387,61.3%,2154200.62,11.98%,734406.03,4.08%,15089911.05,83.93%,36018,11.48%,35821,11.41%,4030,1.28%,33
Sivaganga (21),240032,402399.07,83162,34.65%,156870,65.35%,166104.82,41.28%,87753.23,21.81%,148541.02,36.91%,4437,1.85%,9536,3.97%,2899,1.21%,33
Madurai (22),329414,855277.34,62608,19.01%,266806,80.99%,492408.57,57.57%,290269.31,33.94%,72599.47,8.49%,31873,9.68%,22480,6.82%,8462,2.57%,33
Theni (23),151886,90132.67,17245,11.35%,134641,88.65%,38372.84,42.57%,27545.6,30.56%,24214.22,26.87%,12525,8.25%,7962,5.24%,2442,1.61%,33
Virudhunagar (24),340545,1206526.15,50828,14.93%,289717,85.07%,292923.83,24.28%,380799.42,31.56%,532802.9,44.16%,41946,12.32%,12279,3.61%,5037,1.48%,33
Ramanathapuram (25),238720,8729684.23,74616,31.26%,164104,68.74%,198063.05,2.27%,415289.83,4.76%,8116331.36,92.97%,10027,4.2%,3709,1.55%,2171,0.91%,33
Thoothukkudi (26),257307,219620.71,53707,20.87%,203600,79.13%,155976.2,71.02%,28338.49,12.9%,35306.02,16.08%,27197,10.57%,9603,3.73%,3080,1.2%,33
Tirunelveli (27),422627,2447809.02,82241,19.46%,340386,80.54%,397210.68,16.23%,295849.61,12.09%,1754748.73,71.69%,48821,11.55%,37118,8.78%,6493,1.54%,33
Kanniyakumari (28),166505,973580.53,21024,12.63%,145481,87.37%,59011.58,6.06%,517952.85,53.2%,396616.11,40.74%,1425,0.86%,1257,0.75%,1104,0.66%,33
Dharmapuri (29),323955,10180451.58,141524,43.69%,182429,56.31%,264037.76,2.59%,3876685.89,38.08%,6039727.93,59.33%,9235,2.85%,72686,22.44%,5437,1.68%,33
