District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
South Zone Total,39443917,205604112.64,13604806,34.49%,25837383,65.5%,56700455.56,27.58%,65110539.96,31.67%,83798270.7,40.76%,1782364,4.52%,3396635,8.61%,647277,1.64%,36
State Total,5643739,27490673.19,2396245,42.46%,3247346,57.54%,8359018.46,30.41%,9989961.94,36.34%,9146747.79,33.27%,171264,3.03%,734952,13.02%,90134,1.6%,36
Adilabad (01),475708,1416265.72,206032,43.31%,269674,56.69%,776119.55,54.8%,403004.07,28.46%,237142.11,16.74%,12333,2.59%,44949,9.45%,7527,1.58%,36
Nizamabad (02),531257,926037.93,190723,35.9%,340533,64.1%,347079.23,37.48%,363669.92,39.27%,220319.11,23.79%,14781,2.78%,45235,8.51%,9717,1.83%,36
Karimnagar (03),751791,7171158.41,282837,37.62%,468950,62.38%,1129310.83,15.75%,458552.67,6.39%,5583294.92,77.86%,24559,3.27%,86411,11.49%,9738,1.3%,36
Medak (04),620236,1711326.51,310825,50.11%,309335,49.87%,799756.27,46.73%,625014.37,36.52%,286555.87,16.74%,2678,0.43%,244775,39.46%,2772,0.45%,36
Rangareddy (06),502832,1181358.77,174508,34.71%,328324,65.29%,491649.71,41.62%,360014.31,30.47%,329695.05,27.91%,14222,2.83%,28043,5.58%,13106,2.61%,36
Mahbubnagar (07),735280,2821604.11,397372,54.04%,337884,45.95%,1458192.31,51.68%,790600.41,28.02%,572811.38,20.3%,32443,4.41%,108163,14.71%,23286,3.17%,36
Nalgonda (08),760630,6057738.04,319779,42.04%,440830,57.96%,2075663.8,34.26%,2734500.9,45.14%,1247573.34,20.59%,40253,5.29%,86018,11.31%,9533,1.25%,36
Warangal (09),715975,1645172.15,325331,45.44%,390644,54.56%,747003.46,45.41%,610547.14,37.11%,287645.91,17.48%,18226,2.55%,64473,9%,6945,0.97%,36
Khammam (10),550030,4560011.55,188838,34.33%,361172,65.66%,534243.3,11.72%,3644058.15,79.91%,381710.1,8.37%,11769,2.14%,26885,4.89%,7510,1.37%,36
