District Name,Total Households,Refrigerator,% Refrigerator,Telephone/Mobile phone - 1 = Landline only,Telephone/Mobile phone - % 1 = Landline only,Telephone/Mobile phone - 2 = Mobile only,Telephone/Mobile phone - % 2 = Mobile only,Telephone/Mobile phone - 3 = Both (Landline and Mobile),Telephone/Mobile phone - % 3 = Both (Landline and Mobile),Telephone/Mobile phone - 4 = NO,Telephone/Mobile phone - % 4 = NO,Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,% Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,State_Code
EastGodavari (14),1176639,74065,6.29%,19652,1.67%,779255,66.23%,18277,1.55%,359455,30.55%,201031,17.09%,28
WestGodavari (15),881322,66543,7.55%,19952,2.26%,613359,69.6%,19937,2.26%,228074,25.88%,177990,20.2%,28
Krishna (16),852522,77108,9.04%,23776,2.79%,564870,66.26%,21549,2.53%,242327,28.42%,153041,17.95%,28
Guntur (17),862356,44177,5.12%,19157,2.22%,660905,76.64%,13862,1.61%,168432,19.53%,131970,15.3%,28
Prakasam (18),701745,32669,4.66%,10940,1.56%,546702,77.91%,11287,1.61%,132781,18.92%,123230,17.56%,28
SriPottiSriramuluNellore (19),590457,52141,8.83%,9722,1.65%,416341,70.51%,16310,2.76%,147754,25.02%,86314,14.62%,28
YSR (20),516185,33407,6.47%,7768,1.5%,459570,89.03%,5166,1%,43678,8.46%,221587,42.93%,28
Kurnool (21),637178,22329,3.5%,17772,2.79%,543170,85.25%,9768,1.53%,66466,10.43%,154783,24.29%,28
Anantapur (22),686743,24754,3.6%,13456,1.96%,589783,85.88%,7708,1.12%,75796,11.04%,122487,17.84%,28
Chittoor (23),798870,78372,9.81%,15984,2%,659088,82.5%,14164,1.77%,109633,13.72%,227353,28.46%,28
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,29
South Zone Total,39443917,5485325,13.91%,741257,1.88%,29587641,75.01%,2644191,6.7%,6470330,16.4%,10589436,26.85%,29
State Total,8048664,478826,5.95%,151081,1.88%,6227951,77.38%,342969,4.26%,1326604,16.48%,1911482,23.75%,29
Belgaum (01),735630,33566,4.56%,8405,1.14%,582446,79.18%,17645,2.4%,127134,17.28%,204611,27.81%,29
Bagalkot (02),240555,6092,2.53%,3383,1.41%,184322,76.62%,6458,2.68%,46392,19.29%,57104,23.74%,29
Bijapur (03),292629,6704,2.29%,3245,1.11%,247068,84.43%,6980,2.39%,35336,12.08%,54513,18.63%,29
Bidar (04),240566,11105,4.62%,5689,2.36%,188644,78.42%,6346,2.64%,39887,16.58%,32372,13.46%,29
Raichur (05),267156,15079,5.64%,5374,2.01%,223602,83.7%,7785,2.91%,30393,11.38%,56920,21.31%,29
Koppal (06),222255,8696,3.91%,3671,1.65%,174923,78.7%,6512,2.93%,37149,16.71%,44273,19.92%,29
Gadag (07),134976,2632,1.95%,1105,0.82%,97450,72.2%,3134,2.32%,33287,24.66%,18747,13.89%,29
Dharwad (08),160538,3022,1.88%,2146,1.34%,120524,75.08%,5230,3.26%,32635,20.33%,26896,16.75%,29
Uttara Kannada (09),240456,23182,9.64%,14172,5.89%,154259,64.15%,21591,8.98%,50434,20.97%,66312,27.58%,29
Haveri (10),257562,7069,2.74%,1175,0.46%,204602,79.44%,2941,1.14%,48844,18.96%,44971,17.46%,29
Bellary (11),290257,17352,5.98%,2899,1%,234026,80.63%,7216,2.49%,46116,15.89%,65432,22.54%,29
Chitradurga (12),282921,8786,3.11%,2902,1.03%,200955,71.03%,6819,2.41%,72245,25.54%,45277,16%,29
Davanagere (13),278261,8227,2.96%,3452,1.24%,211245,75.92%,8136,2.92%,55428,19.92%,63005,22.64%,29
Shimoga (14),257688,9024,3.5%,6046,2.35%,193250,74.99%,13949,5.41%,44443,17.25%,68084,26.42%,29
Udupi (15),200232,47586,23.77%,4260,2.13%,160391,80.1%,26862,13.42%,8719,4.35%,59326,29.63%,29
CHIKMAGALUR (16),206997,11340,5.48%,8759,4.23%,145528,70.3%,21677,10.47%,31033,14.99%,55066,26.6%,29
Tumkur (17),488277,16309,3.34%,14601,2.99%,335478,68.71%,20824,4.26%,117374,24.04%,114300,23.41%,29
Bangalore (18),269172,48284,17.94%,1466,0.54%,245388,91.16%,6747,2.51%,15571,5.78%,103743,38.54%,29
Mandya (19),351462,12729,3.62%,6218,1.77%,273462,77.81%,13005,3.7%,58777,16.72%,89808,25.55%,29
Hassan (20),348175,14285,4.1%,9484,2.72%,276488,79.41%,16127,4.63%,46076,13.23%,93346,26.81%,29
Dakshina Kannada (21),276202,60601,21.94%,8515,3.08%,206321,74.7%,47802,17.31%,13564,4.91%,67457,24.42%,29
Kodagu (22),114715,19649,17.13%,4990,4.35%,69400,60.5%,21864,19.06%,18461,16.09%,29630,25.83%,29
Mysore (23),416354,17792,4.27%,5292,1.27%,336692,80.87%,7290,1.75%,67080,16.11%,110331,26.5%,29
Chamarajanagar (24),203466,7451,3.66%,1775,0.87%,156412,76.87%,2656,1.31%,42623,20.95%,41544,20.42%,29
Gulbarga(Kalaburagi) (25),314651,13648,4.34%,5672,1.8%,263417,83.72%,9119,2.9%,36434,11.58%,42770,13.59%,29
Yadgir (26),158580,7314,4.61%,1597,1.01%,137793,86.89%,2263,1.43%,16927,10.67%,24197,15.26%,29
Kolar (27),226042,11748,5.2%,4789,2.12%,172216,76.19%,9605,4.25%,39432,17.44%,68173,30.16%,29
Chikkaballapura (28),218901,8141,3.72%,2963,1.35%,159496,72.86%,5954,2.72%,50443,23.04%,52142,23.82%,29
Bangalore Rural (29),158426,14857,9.38%,2157,1.36%,127488,80.47%,5976,3.77%,22805,14.39%,64033,40.42%,29
Ramanagara (30),195562,6556,3.35%,4879,2.49%,144665,73.97%,4456,2.28%,41562,21.25%,47099,24.08%,29
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,30
West Zone Total,31206237,3696378,11.84%,386552,1.24%,19819488,63.51%,832413,2.67%,10167757,32.58%,7341018,23.52%,30
State Total,220731,153130,69.37%,5267,2.39%,160077,72.52%,37263,16.88%,18124,8.21%,145341,65.85%,30
NorthGoa (01),140451,97134,69.16%,2810,2%,103219,73.49%,22416,15.96%,12006,8.55%,92265,65.69%,30
SouthGoa (02),80280,55996,69.75%,2457,3.06%,56858,70.82%,14847,18.49%,6118,7.62%,53076,66.11%,30
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,31
UT Zone Total,1338560,780191,58.29%,47515,3.55%,1140574,85.21%,54310,4.06%,96160,7.18%,631236,47.16%,31
State Total,10929,7441,68.08%,699,6.4%,6244,57.13%,3068,28.07%,918,8.4%,4142,37.9%,31
Lakshadweep (01),10929,7441,68.08%,699,6.4%,6244,57.13%,3068,28.07%,918,8.4%,4142,37.9%,31
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,32
South Zone Total,39443917,5485325,13.91%,741257,1.88%,29587641,75.01%,2644191,6.7%,6470330,16.4%,10589436,26.85%,32
State Total,6319215,2619164,41.45%,229358,3.63%,3853683,60.98%,1783359,28.22%,452815,7.17%,1928034,30.51%,32
Kasaragod (01),232943,85290,36.61%,6973,2.99%,134276,57.64%,76669,32.91%,15025,6.45%,48539,20.84%,32
Kannur (02),475109,228783,48.15%,18513,3.9%,266333,56.06%,164896,34.71%,25367,5.34%,114420,24.08%,32
Wayanad (03),180860,28662,15.85%,3501,1.94%,122285,67.61%,37194,20.57%,17880,9.89%,35927,19.86%,32
Kozhikode (04),537969,211820,39.37%,23885,4.44%,334256,62.13%,146959,27.32%,32869,6.11%,145607,27.07%,32
Malappuram (05),707117,223198,31.56%,17896,2.53%,471602,66.69%,183683,25.98%,33936,4.8%,181525,25.67%,32
Palakkad (06),563475,147120,26.11%,10590,1.88%,405289,71.93%,97905,17.38%,49691,8.82%,169547,30.09%,32
Thrissur (07),591510,264493,44.71%,28787,4.87%,321155,54.29%,198863,33.62%,42705,7.22%,206426,34.9%,32
Ernakulam (08),529673,285105,53.83%,15326,2.89%,313962,59.27%,174997,33.04%,25388,4.79%,251824,47.54%,32
Idukki (09),258610,63007,24.36%,4355,1.68%,189184,73.15%,52424,20.27%,12647,4.89%,57389,22.19%,32
Kottayam (10),418899,230392,55%,16130,3.85%,227250,54.25%,157314,37.55%,18205,4.35%,157868,37.69%,32
Alappuzha (11),454793,206525,45.41%,24919,5.48%,266407,58.58%,128130,28.17%,35337,7.77%,152620,33.56%,32
Pathanamthitta (12),283661,166119,58.56%,14215,5.01%,140148,49.41%,109658,38.66%,19640,6.92%,98608,34.76%,32
Kollam (13),542337,270780,49.93%,24807,4.57%,310245,57.21%,154306,28.45%,52979,9.77%,157721,29.08%,32
Thiruvananthapuram (14),542259,207870,38.33%,19461,3.59%,351291,64.78%,100361,18.51%,71146,13.12%,150013,27.66%,32
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,33
South Zone Total,39443917,5485325,13.91%,741257,1.88%,29587641,75.01%,2644191,6.7%,6470330,16.4%,10589436,26.85%,33
State Total,10088119,1222197,12.12%,117564,1.17%,7913668,78.45%,255661,2.53%,1801226,17.85%,3228825,32.01%,33
Thiruvallur (01),368152,96980,26.34%,2358,0.64%,285208,77.47%,6873,1.87%,73713,20.02%,131011,35.59%,33
Kancheepuram (03),432465,128272,29.66%,5176,1.2%,350015,80.93%,13404,3.1%,63870,14.77%,144617,33.44%,33
Vellore (04),587123,77653,13.23%,7366,1.25%,451635,76.92%,10922,1.86%,117200,19.96%,174833,29.78%,33
Tiruvannamalai (05),488091,36663,7.51%,2470,0.51%,383195,78.51%,4773,0.98%,97653,20.01%,137145,28.1%,33
Viluppuram (06),671784,64653,9.62%,8975,1.34%,548082,81.59%,7967,1.19%,106760,15.89%,168701,25.11%,33
Salem (07),501419,48945,9.76%,6106,1.22%,387959,77.37%,10329,2.06%,97025,19.35%,199849,39.86%,33
Namakkal (08),285291,47412,16.62%,3278,1.15%,219817,77.05%,9645,3.38%,52551,18.42%,152457,53.44%,33
Erode (09),322172,35112,10.9%,5107,1.59%,230178,71.45%,14547,4.52%,72340,22.45%,157246,48.81%,33
The Nilgiris (10),84323,3616,4.29%,1024,1.21%,65558,77.75%,3900,4.63%,13841,16.41%,6978,8.28%,33
Dindigul (11),368203,26039,7.07%,2655,0.72%,295121,80.15%,5317,1.44%,65110,17.68%,140550,38.17%,33
Karur (12),176084,16637,9.45%,1282,0.73%,138649,78.74%,2852,1.62%,33301,18.91%,66918,38%,33
Tiruchirappalli (13),368071,43900,11.93%,3758,1.02%,285165,77.48%,10680,2.9%,68468,18.6%,120922,32.85%,33
Perambalur (14),122676,10879,8.87%,1302,1.06%,94665,77.17%,1590,1.3%,25119,20.48%,30851,25.15%,33
Ariyalur (15),175439,12915,7.36%,1324,0.75%,138500,78.94%,2965,1.69%,32650,18.61%,41411,23.6%,33
Cuddalore (16),436344,58029,13.3%,2897,0.66%,360142,82.54%,6689,1.53%,66616,15.27%,129541,29.69%,33
Nagapattinam (17),318840,40573,12.73%,5789,1.82%,237925,74.62%,15278,4.79%,59848,18.77%,78765,24.7%,33
Thiruvarur (18),258848,29169,11.27%,5664,2.19%,178618,69%,12136,4.69%,62430,24.12%,60916,23.53%,33
Thanjavur (19),407041,55445,13.62%,6063,1.49%,322224,79.16%,15432,3.79%,63322,15.56%,116616,28.65%,33
Pudukkottai (20),313859,23966,7.64%,3778,1.2%,264347,84.22%,5977,1.9%,39757,12.67%,95687,30.49%,33
Sivaganga (21),240032,27863,11.61%,2806,1.17%,201487,83.94%,3852,1.6%,31887,13.28%,68409,28.5%,33
Madurai (22),329414,26403,8.02%,3952,1.2%,264194,80.2%,5234,1.59%,56034,17.01%,109182,33.14%,33
Theni (23),151886,9443,6.22%,3099,2.04%,114812,75.59%,2492,1.64%,31483,20.73%,26546,17.48%,33
Virudhunagar (24),340545,29632,8.7%,4169,1.22%,257278,75.55%,8169,2.4%,70929,20.83%,79584,23.37%,33
Ramanathapuram (25),238720,21273,8.91%,4076,1.71%,203893,85.41%,6607,2.77%,24144,10.11%,36527,15.3%,33
Thoothukkudi (26),257307,25412,9.88%,3762,1.46%,198321,77.08%,9113,3.54%,46111,17.92%,62508,24.29%,33
Tirunelveli (27),422627,37059,8.77%,6164,1.46%,312604,73.97%,15815,3.74%,88044,20.83%,106075,25.1%,33
Kanniyakumari (28),166505,45784,27.5%,4176,2.51%,132300,79.46%,11607,6.97%,18422,11.06%,46440,27.89%,33
Dharmapuri (29),323955,27369,8.45%,1333,0.41%,260861,80.52%,4756,1.47%,57005,17.6%,124989,38.58%,33
Krishnagiri (30),343293,33978,9.9%,1935,0.56%,285114,83.05%,4144,1.21%,52100,15.18%,130716,38.08%,33
Coimbatore (31),268951,43934,16.34%,1919,0.71%,204296,75.96%,10806,4.02%,51930,19.31%,125992,46.85%,33
Tiruppur (32),318659,37189,11.67%,3801,1.19%,241505,75.79%,11790,3.7%,61563,19.32%,156843,49.22%,33
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,34
UT Zone Total,1338560,780191,58.29%,47515,3.55%,1140574,85.21%,54310,4.06%,96160,7.18%,631236,47.16%,34
State Total,115249,36576,31.74%,846,0.73%,87957,76.32%,5393,4.68%,21053,18.27%,52417,45.48%,34
Puducherry (02),88898,28215,31.74%,643,0.72%,68744,77.33%,3033,3.41%,16478,18.54%,40774,45.87%,34
Karaikal (04),26351,8361,31.73%,203,0.77%,19213,72.91%,2360,8.96%,4575,17.36%,11643,44.18%,34
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,35
UT Zone Total,1338560,780191,58.29%,47515,3.55%,1140574,85.21%,54310,4.06%,96160,7.18%,631236,47.16%,35
State Total,68481,21710,31.7%,1161,1.7%,52413,76.54%,2663,3.89%,12244,17.88%,18649,27.23%,35
Nicobars (01),9333,1914,20.51%,164,1.76%,6290,67.4%,146,1.56%,2733,29.28%,2468,26.44%,35
North  & Middle Andaman (02),26990,7448,27.6%,630,2.33%,19560,72.47%,1237,4.58%,5563,20.61%,5804,21.5%,35
South Andaman (03),32158,12348,38.4%,367,1.14%,26563,82.6%,1280,3.98%,3948,12.28%,10377,32.27%,35
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,36
South Zone Total,39443917,5485325,13.91%,741257,1.88%,29587641,75.01%,2644191,6.7%,6470330,16.4%,10589436,26.85%,36
State Total,5643739,593889,10.52%,66511,1.18%,4728933,83.79%,107278,1.9%,740969,13.13%,1707527,30.26%,36
Adilabad (01),475708,31303,6.58%,6362,1.34%,351114,73.81%,5335,1.12%,112897,23.73%,82267,17.29%,36
Nizamabad (02),531257,192981,36.33%,5506,1.04%,439374,82.7%,47694,8.98%,38682,7.28%,286377,53.91%,36
Karimnagar (03),751791,39548,5.26%,6476,0.86%,630619,83.88%,6244,0.83%,108451,14.43%,177052,23.55%,36
Medak (04),620236,98751,15.92%,3301,0.53%,589353,95.02%,5464,0.88%,22117,3.57%,417984,67.39%,36
Rangareddy (06),502832,77471,15.41%,8280,1.65%,439397,87.38%,12137,2.41%,43018,8.56%,175477,34.9%,36
Mahbubnagar (07),735280,41660,5.67%,14171,1.93%,635962,86.49%,11107,1.51%,74016,10.07%,196182,26.68%,36
Nalgonda (08),760630,38862,5.11%,7400,0.97%,639050,84.02%,6609,0.87%,107550,14.14%,183104,24.07%,36
Warangal (09),715975,35971,5.02%,10850,1.52%,568131,79.35%,8419,1.18%,128575,17.96%,108071,15.09%,36
Khammam (10),550030,37342,6.79%,4165,0.76%,435933,79.26%,4269,0.78%,105663,19.21%,81013,14.73%,36
