District Name,Total Households,Refrigerator,% Refrigerator,Telephone/Mobile phone - 1 = Landline only,Telephone/Mobile phone - % 1 = Landline only,Telephone/Mobile phone - 2 = Mobile only,Telephone/Mobile phone - % 2 = Mobile only,Telephone/Mobile phone - 3 = Both (Landline and Mobile),Telephone/Mobile phone - % 3 = Both (Landline and Mobile),Telephone/Mobile phone - 4 = NO,Telephone/Mobile phone - % 4 = NO,Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,% Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,State_Code
DADRA & NAGAR HAVELI (01),45352,5562,12.26%,665,1.47%,26663,58.79%,453,1%,17571,38.74%,9250,20.4%,26
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,27
West Zone Total,31206237,3696378,11.84%,386552,1.24%,19819488,63.51%,832413,2.67%,10167757,32.58%,7341018,23.52%,27
State Total,13841960,1485119,10.73%,291307,2.1%,8018130,57.93%,422317,3.05%,5110179,36.92%,3007937,21.73%,27
Nandurbar (01),292828,13276,4.53%,2607,0.89%,63709,21.76%,4088,1.4%,222424,75.96%,22883,7.81%,27
Dhule (02),306860,26470,8.63%,4229,1.38%,161560,52.65%,7658,2.5%,133413,43.48%,44391,14.47%,27
Jalgaon (03),643191,55784,8.67%,13523,2.1%,291224,45.28%,20847,3.24%,317597,49.38%,85130,13.24%,27
Buldana (04),461842,21481,4.65%,8314,1.8%,229770,49.75%,8984,1.95%,214774,46.5%,54294,11.76%,27
Akola (05),281629,17107,6.07%,6540,2.32%,133230,47.31%,5567,1.98%,136292,48.39%,36575,12.99%,27
Washim (06),223258,9307,4.17%,4609,2.06%,110374,49.44%,4602,2.06%,103672,46.44%,24604,11.02%,27
Amravati (07),450098,21011,4.67%,10520,2.34%,159929,35.53%,11091,2.46%,268558,59.67%,45258,10.06%,27
Wardha (08),226126,27253,12.05%,4360,1.93%,125444,55.48%,7512,3.32%,88810,39.27%,43517,19.24%,27
Nagpur (09),414168,66140,15.97%,12245,2.96%,232699,56.18%,13698,3.31%,155526,37.55%,113374,27.37%,27
Bhandara (10),243526,18092,7.43%,2761,1.13%,119948,49.25%,4757,1.95%,116060,47.66%,41503,17.04%,27
Gondiya (11),265214,13515,5.1%,2497,0.94%,127564,48.1%,2981,1.12%,132172,49.84%,38637,14.57%,27
Gadchiroli (12),231066,14114,6.11%,2541,1.1%,59991,25.96%,4261,1.84%,164273,71.09%,20334,8.8%,27
Chandrapur (13),397430,36566,9.2%,3875,0.98%,149310,37.57%,7815,1.97%,236430,59.49%,51675,13%,27
Yavatmal (14),584064,40069,6.86%,9091,1.56%,242420,41.51%,10774,1.84%,321779,55.09%,74472,12.75%,27
Nanded (15),488582,22816,4.67%,9215,1.89%,320582,65.61%,8274,1.69%,150511,30.81%,46388,9.49%,27
Hingoli (16),202854,7097,3.5%,1902,0.94%,117540,57.94%,2122,1.05%,81286,40.07%,20655,10.18%,27
Parbhani (17),261070,9749,3.73%,5134,1.97%,182926,70.07%,3457,1.32%,69553,26.64%,27372,10.48%,27
Jalna (18),314270,15127,4.81%,11092,3.53%,203145,64.64%,13087,4.16%,86944,27.67%,60206,19.16%,27
Aurangabad (19),449363,35427,7.88%,14654,3.26%,314124,69.9%,10400,2.31%,110185,24.52%,135436,30.14%,27
Nashik (20),702961,67281,9.57%,6342,0.9%,412934,58.74%,8685,1.24%,275000,39.12%,204962,29.16%,27
Thane (21),626009,144671,23.11%,12980,2.07%,323872,51.74%,31675,5.06%,257482,41.13%,116316,18.58%,27
Raigarh (24),453135,157250,34.7%,20134,4.44%,261287,57.66%,37546,8.29%,134168,29.61%,119114,26.29%,27
Pune (25),751874,193919,25.79%,7076,0.94%,623011,82.86%,10711,1.42%,111060,14.77%,360167,47.9%,27
Ahmadnagar (26),763339,77298,10.13%,13876,1.82%,524552,68.72%,19618,2.57%,205293,26.89%,260118,34.08%,27
Bid (27),460613,28391,6.16%,13973,3.03%,307587,66.78%,12003,2.61%,127050,27.58%,95520,20.74%,27
Latur (28),360602,24235,6.72%,6669,1.85%,234046,64.9%,9950,2.76%,109937,30.49%,51987,14.42%,27
Osmanabad (29),294600,15946,5.41%,3109,1.06%,192949,65.5%,5858,1.99%,92684,31.46%,42302,14.36%,27
Solapur (30),597623,46718,7.82%,11963,2%,402633,67.37%,13595,2.27%,169432,28.35%,155376,26%,27
Satara (31),539808,72311,13.4%,13766,2.55%,395135,73.2%,22525,4.17%,108380,20.08%,169960,31.49%,27
Ratnagiri (32),343088,47388,13.81%,26680,7.78%,164431,47.93%,24902,7.26%,127075,37.04%,51650,15.05%,27
Sindhudurg (33),186826,25825,13.82%,7763,4.16%,102568,54.9%,14437,7.73%,62058,33.22%,33053,17.69%,27
Kolhapur (34),590837,64859,10.98%,12986,2.2%,402984,68.21%,40107,6.79%,134758,22.81%,207981,35.2%,27
Sangli (35),433206,48626,11.22%,4281,0.99%,324652,74.94%,18730,4.32%,85543,19.75%,152727,35.26%,27
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,28
South Zone Total,39443917,5485325,13.91%,741257,1.88%,29587641,75.01%,2644191,6.7%,6470330,16.4%,10589436,26.85%,28
State Total,9344180,571249,6.11%,176743,1.89%,6863406,73.45%,154924,1.66%,2148716,23%,1813568,19.41%,28
Srikakulam (11),558929,21942,3.93%,7048,1.26%,400211,71.6%,7343,1.31%,144327,25.82%,73682,13.18%,28
Vizianagaram (12),478978,18728,3.91%,5132,1.07%,278257,58.09%,4541,0.95%,191048,39.89%,47026,9.82%,28
Visakhapatnam (13),602256,25014,4.15%,6384,1.06%,351895,58.43%,5012,0.83%,238945,39.67%,93074,15.45%,28
